pair,arm,setup,level,repeat,fold,n,n_pos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,log_loss,brier,mcc,kappa,tn,fp,fn,tp,precision_acousticguitar,recall_acousticguitar,f1_acousticguitar,precision_violin,recall_violin,f1_violin,n_train,n_test,precision_ambulance,recall_ambulance,f1_ambulance,precision_firetruck,recall_firetruck,f1_firetruck,precision_ant,recall_ant,f1_ant,precision_bee,recall_bee,f1_bee,precision_cucumber,recall_cucumber,f1_cucumber,precision_zucchini,recall_zucchini,f1_zucchini,precision_hotpot,recall_hotpot,f1_hotpot,precision_vase,recall_vase,f1_vase
ant_bee,caption,w25,caption,3,4,3325,1670,0.9341353383458647,0.9341950540007598,0.9344072398190045,0.9341950540007598,0.9341299760961942,0.9820930947772128,0.9831123129927503,0.2647851154743621,0.06845530708339005,0.8686022679029424,0.8682840798607185,1568,87,132,1538,,,,,,,13315,3325,,,,,,,0.9223529411764706,0.9474320241691843,0.9347242921013413,0.9464615384615385,0.9209580838323354,0.933535660091047,,,,,,,,,,,,
ant_bee,caption,w25,image,3,4,665,334,0.9338345864661655,0.9338875119850933,0.9340445554409396,0.9338875119850933,0.9338308457711443,0.9854912531432602,0.9865271404558325,0.2613729775786464,0.06587912239335433,0.8679320532183269,0.8676808422118916,313,18,26,308,,,,,,,13315,3325,,,,,,,0.9233038348082596,0.945619335347432,0.9343283582089552,0.9447852760736196,0.9221556886227545,0.9333333333333333,,,,,,,,,,,,
ant_bee,caption,w25,caption,4,0,3330,1675,0.9495495495495495,0.9495441222888579,0.9495512577013443,0.9495441222888579,0.9495473474299665,0.9886285791585878,0.9886791047393857,0.2444835244347394,0.05956814767185974,0.899095379961888,0.8990947312601796,1570,85,83,1592,,,,,,,13310,3330,,,,,,,0.9497882637628554,0.9486404833836858,0.9492140266021766,0.9493142516398331,0.9504477611940298,0.9498806682577565,,,,,,,,,,,,
ant_bee,caption,w25,image,4,0,666,335,0.9534534534534534,0.9534247193037833,0.9535106075912829,0.9534247193037833,0.9534483108496596,0.9915227487937953,0.9919002341111963,0.24131047727328997,0.05716747593614068,0.9069353228281841,0.906898510989457,314,17,14,321,,,,,,,13310,3330,,,,,,,0.9573170731707317,0.9486404833836858,0.952959028831563,0.9497041420118343,0.9582089552238806,0.9539375928677564,,,,,,,,,,,,
ant_bee,caption,w25,caption,4,1,3330,1675,0.9366366366366367,0.9366866573477026,0.9367277759659204,0.9366866573477026,0.9366361737891113,0.9867902782161699,0.9873692368298213,0.2559159853352277,0.06482266213900828,0.8734144323457315,0.8732819581484013,1564,91,120,1555,,,,,,,13310,3330,,,,,,,0.9287410926365796,0.9450151057401812,0.9368074273734651,0.9447144592952612,0.9283582089552239,0.9364649202047576,,,,,,,,,,,,
ant_bee,caption,w25,image,4,1,666,335,0.9429429429429429,0.9429589214050593,0.942942942942943,0.9429589214050593,0.9429424283962196,0.9899896288948009,0.9906315065838087,0.2525216593245673,0.06220717074719085,0.8859018642039055,0.8858858858858859,313,18,20,315,,,,,,,13310,3330,,,,,,,0.93993993993994,0.945619335347432,0.9427710843373494,0.9459459459459459,0.9402985074626866,0.9431137724550899,,,,,,,,,,,,
ant_bee,caption,w25,caption,4,2,3330,1670,0.9285285285285285,0.9285567419378111,0.928665601537942,0.9285567419378111,0.9285254088591193,0.979722242262463,0.9801400967673687,0.26678165619856414,0.06946848925811451,0.8572223365636533,0.8570640176600441,1557,103,135,1535,,,,,,,13310,3330,,,,,,,0.9202127659574468,0.9379518072289157,0.9289976133651552,0.9371184371184371,0.9191616766467066,0.9280532043530835,,,,,,,,,,,,
ant_bee,caption,w25,image,4,2,666,334,0.933933933933934,0.9339694105764376,0.9341573439191628,0.9339694105764376,0.9339285714285714,0.9836682057571604,0.9847025467218433,0.2632052069192243,0.06700764928430632,0.8681267341535583,0.867876208339345,314,18,26,308,,,,,,,13310,3330,,,,,,,0.9235294117647059,0.9457831325301205,0.9345238095238095,0.9447852760736196,0.9221556886227545,0.9333333333333333,,,,,,,,,,,,
ant_bee,caption,w25,caption,4,3,3325,1670,0.9506766917293233,0.9507001103533115,0.9507089162875987,0.9507001103533115,0.9506766515768998,0.9914116178519095,0.9912680210939756,0.23994739307952295,0.05784179062089459,0.9014090265978973,0.9013561940459156,1582,73,91,1579,,,,,,,13315,3325,,,,,,,0.9456066945606695,0.9558912386706948,0.9507211538461539,0.9558111380145279,0.9455089820359281,0.950632149307646,,,,,,,,,,,,
ant_bee,caption,w25,image,4,3,665,334,0.9593984962406015,0.959418021962118,0.959418021962118,0.959418021962118,0.9593984962406015,0.9938853411002768,0.9940692251906514,0.23716469810630472,0.05559628343208348,0.9188360439242361,0.9187986450612119,319,12,15,319,,,,,,,13315,3325,,,,,,,0.9550898203592815,0.9637462235649547,0.9593984962406015,0.9637462235649547,0.9550898203592815,0.9593984962406015,,,,,,,,,,,,
ant_bee,caption,w25,caption,4,4,3325,1670,0.9320300751879699,0.9320341190730321,0.9320272412762574,0.9320341190730321,0.9320293312724595,0.9825127991750638,0.9818716906218385,0.2650514321194099,0.06811933818707426,0.8640613603219164,0.8640588592847736,1544,111,115,1555,,,,,,,13315,3325,,,,,,,0.9306811332127788,0.9329305135951662,0.931804465902233,0.9333733493397359,0.9311377245508982,0.9322541966426858,,,,,,,,,,,,
ant_bee,caption,w25,image,4,4,665,334,0.9368421052631579,0.9368272518407295,0.9368667679837892,0.9368272518407295,0.9368385345997287,0.9862781988892306,0.9866873786337422,0.26120283354235,0.06558496693723105,0.8736940189308846,0.8736782118660166,309,22,20,314,,,,,,,13315,3325,,,,,,,0.939209726443769,0.9335347432024169,0.9363636363636364,0.9345238095238095,0.9401197604790419,0.9373134328358209,,,,,,,,,,,,
ant_bee,caption,w30,caption,0,0,3330,1675,0.9342342342342342,0.9343563151012311,0.9348867211992152,0.9343563151012311,0.934219991360663,0.9857520854939801,0.9865793325680068,0.26963047855621947,0.06883081880808639,0.8692428744753622,0.8684964557678749,1580,75,144,1531,,,,,,,13310,3330,,,,,,,0.9164733178654292,0.9546827794561934,0.9351879254217224,0.9533001245330013,0.9140298507462686,0.9332520572996038,,,,,,,,,,,,
