family,pair,setup,level,arm_a,arm_b,metric,k,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,t_nb,p_nb,p_nb_bonf,w,p_wilcoxon,p_wilcoxon_bonf,significant
subset_cost,hotpot_vase,w10,image,caption,caption_tagsub,f1_macro,25,0.9962279476673279,0.9956760161377843,0.0005519315295437988,-0.002111659149375035,0.0032155222084626327,0.15883165560754367,0.875130508137718,1.0,138.0,1.0,1.0,False
subset_cost,hotpot_vase,w10,image,caption,caption_tagsub,roc_auc,25,0.999960517591389,0.9998508049242306,0.00010971266715844585,-3.097765307129768e-05,0.0002504029873881894,0.5977394229800574,0.5556126003015595,1.0,50.0,0.8751691459232763,1.0,False
subset_cost,hotpot_vase,w10,image,caption,caption_tagsub,brier,25,0.007116252755657405,0.025208876893474376,-0.018092624137816978,-0.019165887061666522,-0.017019361213967434,-12.921554967862651,2.6616490287253047e-12,1.0646596114901219e-10,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w15,image,caption,caption_tagsub,accuracy,25,0.9958357330662326,0.9979071241879984,-0.002071391121765669,-0.004240283948249322,9.750170471798476e-05,-0.7320544133572523,0.47122418374898045,1.0,65.0,0.02570544839700374,1.0,False
subset_cost,hotpot_vase,w15,image,caption,caption_tagsub,balanced_accuracy,25,0.9956131062785706,0.9980001083174298,-0.0023870020388594027,-0.004581636599704734,-0.0001923674780140716,-0.8337002292453016,0.41267092244020814,1.0,61.0,0.01862967297570132,0.7451869190280529,False
subset_cost,hotpot_vase,w15,image,caption,caption_tagsub,f1_macro,25,0.9958174983066465,0.9978799555143613,-0.0020624572077147583,-0.004246786295320777,0.00012187187989126007,-0.7237460766648685,0.47621748623018956,1.0,65.0,0.02570544839700374,1.0,False
subset_cost,hotpot_vase,w15,image,caption,caption_tagsub,roc_auc,25,0.9999183858859955,1.0,-8.161411400447349e-05,-0.00013104158501580092,-3.2186642993146045e-05,-1.2656575825982828,0.21778505600107345,1.0,0.0,0.0014639297960568455,0.05855719184227382,False
subset_cost,hotpot_vase,w15,image,caption,caption_tagsub,brier,25,0.010220785032943604,0.036192895621651074,-0.02597211058870747,-0.027137309105539794,-0.02480691207187515,-17.085459581268,6.177766131841608e-15,2.4711064527366433e-13,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w20,image,caption,caption_tagsub,accuracy,25,0.9960807979633571,0.9957363426004542,0.0003444553629028979,-0.002877791367430827,0.0035667020932366226,0.08193953672562108,0.9353743359875104,1.0,137.0,0.9756798269916807,1.0,False
subset_cost,hotpot_vase,w20,image,caption,caption_tagsub,balanced_accuracy,25,0.9958743555665903,0.9960889653642,-0.0002146097976098682,-0.003443994633449142,0.0030147750382294057,-0.05093884441405671,0.9597958434050362,1.0,123.0,0.6474675963887184,1.0,False
subset_cost,hotpot_vase,w20,image,caption,caption_tagsub,f1_macro,25,0.9960634754970861,0.9956185756516195,0.000444899845466753,-0.002837518203992663,0.0037273178949261687,0.10389333989640111,0.9181173183097989,1.0,136.0,0.9513822441261014,1.0,False
subset_cost,hotpot_vase,w20,image,caption,caption_tagsub,roc_auc,25,0.9999418001781777,0.999927928526358,1.3871651819750142e-05,-6.790336693362626e-05,9.564667057312654e-05,0.13002500289618527,0.8976303116987278,1.0,38.0,0.9374729223624751,1.0,False
subset_cost,hotpot_vase,w20,image,caption,caption_tagsub,brier,25,0.011135661067170304,0.04301466830204746,-0.03187900723487715,-0.03320107174632499,-0.030556942723429317,-18.482958393302575,1.0643096007363494e-15,4.257238402945397e-14,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w25,image,caption,caption_tagsub,accuracy,25,0.9949374400066776,0.9979071241879984,-0.0029696841813207663,-0.0052342305293309145,-0.0007051378333106182,-1.005190549834896,0.3248327780457329,1.0,59.0,0.00915376940661292,0.36615077626451675,False
subset_cost,hotpot_vase,w25,image,caption,caption_tagsub,balanced_accuracy,25,0.9946558250938353,0.9980001083174298,-0.0033442832235945465,-0.00565701537337952,-0.0010315510738095738,-1.1084013796246845,0.2786729710846216,1.0,51.0,0.00457713897846311,0.1830855591385244,False
subset_cost,hotpot_vase,w25,image,caption,caption_tagsub,f1_macro,25,0.9949143735879283,0.9978799555143613,-0.0029655819264328186,-0.005246000696525274,-0.0006851631563403633,-0.9968152288938431,0.32879896966013944,1.0,59.0,0.00915376940661292,0.36615077626451675,False
subset_cost,hotpot_vase,w25,image,caption,caption_tagsub,roc_auc,25,0.9999491638795988,1.0,-5.083612040131857e-05,-9.071261308399802e-05,-1.095962771863912e-05,-0.9771804992591382,0.3382275460368463,1.0,0.0,0.007632441648205511,0.30529766592822044,False
subset_cost,hotpot_vase,w25,image,caption,caption_tagsub,brier,25,0.011737833280475219,0.046547773564332165,-0.03480994028385694,-0.03612220166545461,-0.03349767890225928,-20.33303813310452,1.2308450081835299e-16,4.923380032734119e-15,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w30,image,caption,caption_tagsub,accuracy,25,0.9962440632694797,0.9979071241879984,-0.0016630609185187284,-0.0038206231179679145,0.000494501280930458,-0.5908322302464663,0.5601563459290845,1.0,66.0,0.08472747462261479,1.0,False
