pair,arm,setup,level,metric,mean,sd,ci_lo,ci_hi,k
ant_bee,caption_tagsub,w20,image,precision_bee,0.9285655353238401,0.0201589384374059,0.9202443345148581,0.9368867361328221,25
ant_bee,caption_tagsub,w20,image,recall_bee,0.9270879059420685,0.02094741930672671,0.918441236226674,0.935734575657463,25
ant_bee,caption_tagsub,w20,image,f1_bee,0.9276440175849052,0.015783808553090316,0.9211287816309581,0.9341592535388523,25
ant_bee,caption_tagsub,w25,caption,accuracy,0.9176925203520728,0.012773129881089895,0.912420031474259,0.9229650092298867,25
ant_bee,caption_tagsub,w25,caption,balanced_accuracy,0.9176613808052001,0.012748705477997,0.9123989738254686,0.9229237877849316,25
ant_bee,caption_tagsub,w25,caption,precision_macro,0.917757830923481,0.01286371529763664,0.912447950223484,0.9230677116234779,25
ant_bee,caption_tagsub,w25,caption,recall_macro,0.9176613808052001,0.012748705477997,0.9123989738254686,0.9229237877849316,25
ant_bee,caption_tagsub,w25,caption,f1_macro,0.917521814443978,0.012835568147100122,0.9122235523166823,0.9228200765712736,25
ant_bee,caption_tagsub,w25,caption,roc_auc,0.9773846922394435,0.006802052603569783,0.9745769429225183,0.9801924415563686,25
ant_bee,caption_tagsub,w25,caption,pr_auc,0.9763142373350686,0.008014564178736567,0.9730059878389546,0.9796224868311826,25
ant_bee,caption_tagsub,w25,caption,log_loss,0.3532885730762865,0.010144594038170873,0.34910109046755033,0.3574760556850227,25
ant_bee,caption_tagsub,w25,caption,brier,0.09669684970598597,0.004590698424506907,0.09480190253094439,0.09859179688102754,25
ant_bee,caption_tagsub,w25,caption,mcc,0.8354188420498551,0.02560066726748861,0.8248514059798375,0.8459862781198726,25
ant_bee,caption_tagsub,w25,caption,kappa,0.8350784369434276,0.025661215573264663,0.8244860077611701,0.8456708661256852,25
ant_bee,caption_tagsub,w25,caption,precision_ant,0.9199515563692837,0.017160110316687426,0.9128682109692858,0.9270349017692816,25
ant_bee,caption_tagsub,w25,caption,recall_ant,0.9189042476607537,0.01885130104489097,0.9111228130384803,0.9266856822830272,25
ant_bee,caption_tagsub,w25,caption,f1_ant,0.9192464794112328,0.012364473329581965,0.9141426756671904,0.9243502831552752,25
ant_bee,caption_tagsub,w25,caption,precision_bee,0.9155641054776779,0.020014766849665012,0.9073024157752091,0.9238257951801466,25
ant_bee,caption_tagsub,w25,caption,recall_bee,0.9164185139496466,0.01922665849652357,0.9084821393864689,0.9243548885128242,25
ant_bee,caption_tagsub,w25,caption,f1_bee,0.9157971494767232,0.014192133728657354,0.9099389245989215,0.9216553743545249,25
ant_bee,caption_tagsub,w25,image,accuracy,0.9214383573521507,0.014565972232387116,0.9154258195243232,0.9274508951799783,25
ant_bee,caption_tagsub,w25,image,balanced_accuracy,0.92143970159381,0.014570219050246998,0.9154254107657279,0.927453992421892,25
ant_bee,caption_tagsub,w25,image,precision_macro,0.9215742955867965,0.014647390939374273,0.9155281497685209,0.927620441405072,25
ant_bee,caption_tagsub,w25,image,recall_macro,0.92143970159381,0.014570219050246998,0.9154254107657279,0.927453992421892,25
ant_bee,caption_tagsub,w25,image,f1_macro,0.9212732609145264,0.01463787245272812,0.9152310441344305,0.9273154776946224,25
ant_bee,caption_tagsub,w25,image,roc_auc,0.9815840387336501,0.006359465528224929,0.9789589803823648,0.9842090970849353,25
ant_bee,caption_tagsub,w25,image,pr_auc,0.9815862339336117,0.006840879263874184,0.9787624577590155,0.9844100101082078,25
ant_bee,caption_tagsub,w25,image,log_loss,0.3508151334567306,0.010065080132445087,0.3466604725751258,0.3549697943383354,25
ant_bee,caption_tagsub,w25,image,brier,0.0947613251597007,0.004579740407686583,0.0928709012316899,0.09665174908771151,25
ant_bee,caption_tagsub,w25,image,mcc,0.8430134609670279,0.029202504784985095,0.8309592594426947,0.8550676624913611,25
ant_bee,caption_tagsub,w25,image,kappa,0.8425877197745186,0.029262800342223155,0.8305086294674141,0.8546668100816232,25
ant_bee,caption_tagsub,w25,image,precision_ant,0.9248898826095514,0.01957795806116608,0.9168084987131405,0.9329712665059623,25
ant_bee,caption_tagsub,w25,image,recall_ant,0.9213380632711865,0.020481816485108235,0.9128835849545577,0.9297925415878153,25
ant_bee,caption_tagsub,w25,image,f1_ant,0.9228887881486311,0.013765140366030923,0.9172068174682193,0.9285707588290428,25
