family,pair,setup,level,arm_a,arm_b,metric,k,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,t_nb,p_nb,p_nb_bonf,w,p_wilcoxon,p_wilcoxon_bonf,significant
tags_vs_clean,ant_bee,w05,caption,caption_noclass_tagsub,tags,roc_auc,25,0.9233766970991484,0.9931779434831677,-0.0698012463840192,-0.07488821912431819,-0.06471427364372022,-10.517756503746934,1.817554773562489e-10,3.635109547124978e-09,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w05,caption,caption_noclass_tagsub,tags,brier,25,0.11144695154856636,0.07914417422044863,0.032302777328117725,0.028953959844978647,0.035651594811256807,7.393800538264273,1.2365570146784428e-07,2.4731140293568855e-06,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,caption,caption_noclass_tagsub,tags,accuracy,25,0.8719903119584937,0.9577784691056028,-0.0857881571471092,-0.09396980740482208,-0.07760650688939633,-8.037218459594122,2.9067953477926198e-08,5.813590695585239e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,caption,caption_noclass_tagsub,tags,balanced_accuracy,25,0.8718057763606586,0.9576728912719981,-0.08586711491133941,-0.09386835009822815,-0.07786587972445068,-8.22600899380744,1.9206407519112e-08,3.8412815038224003e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,caption,caption_noclass_tagsub,tags,f1_macro,25,0.8716903236884116,0.9576810343787381,-0.08599071069032636,-0.09416161902613113,-0.0778198023545216,-8.06678616772767,2.7232795714071982e-08,5.446559142814396e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,caption,caption_noclass_tagsub,tags,roc_auc,25,0.9405031792984258,0.9931779434831677,-0.05267476418474192,-0.05686652149370197,-0.04848300687578187,-9.632207170265888,1.0166747531330535e-09,2.0333495062661072e-08,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,caption,caption_noclass_tagsub,tags,brier,25,0.10254207650414514,0.07914417422044863,0.02339790228369652,0.02042913331150259,0.02636667125589045,6.041153426788958,3.0796400793051897e-06,6.15928015861038e-05,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,caption,caption_noclass_tagsub,tags,accuracy,25,0.8865925115730249,0.9577784691056028,-0.07118595753257781,-0.07862663207872841,-0.0637452829864272,-7.333332340033431,1.4207785750098607e-07,2.8415571500197213e-06,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,caption,caption_noclass_tagsub,tags,balanced_accuracy,25,0.8861435956787546,0.9576728912719981,-0.07152929559324353,-0.07889739426911743,-0.06416119691736963,-7.4412836568601985,1.1091718374984533e-07,2.2183436749969064e-06,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,caption,caption_noclass_tagsub,tags,f1_macro,25,0.8862282166374176,0.9576810343787381,-0.0714528177413203,-0.07891540531835871,-0.06399023016428189,-7.339209148310243,1.4017019234452342e-07,2.8034038468904687e-06,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
